Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,29/04/2009, G/TBT/N/CHN/584/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,29/04/2009, G/TBT/N/CHN/626,"National Standard of the P.R.C., General Safety Requirements for Civilian Used Primary Battery","Chapters 5 and 6 of this standard are mandatory, the remainings are recommended.  Mandatory contents for civilian used primary battery are security performance requirements and marks.","Primary batteries (ICS: 29.220.10, HS8506) ;
",29.220.10 - Primary cells and batteries,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,"8506 - Primary cells and primary batteries, electrical; parts thereof (excl. spent)",,,,,,
China,29/04/2009, G/TBT/N/CHN/617,"National Standard of the P.R.C., Strength Requirement and Test of Automobile Seats Head Restraints","This standard specifies the terms and definitions, requirements and test methods for automobile seats head restraints.","Automobile seats head restraints (ICS: 43.040.60) ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,,,,,,,
China,29/04/2009, G/TBT/N/CHN/570/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,29/04/2009, G/TBT/N/CHN/625,"National Standard of the P.R.C., Non-sparking Beryllium Copper Alloy Tools","This standard specifies the scope of application, basic parameters, classifications, requirements, test methods, inspection rules and product’s marks, packaging, transport, storage requirements for the beryllium copper alloy non-sparking tools.",Non-sparking beryllium copper alloy tools (ICS: 25.140.30),25.140.30 - Hand-operated tools,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,,,,,,,
China,29/04/2009, G/TBT/N/CHN/618,"National Standard of the P.R.C., Safety Requirements of Small Power Motors","This standard specifies the general safety requiments of small power motors. It is applicable for all small power motors, but does not apply to control motors.","Small power motors (ICS:29.160.30, HS: 8501) ;
",29.160.30 - Motors,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,8501 - Electric motors and generators (excl. generating sets),,,,,,
China,29/04/2009, G/TBT/N/CHN/622,"National Standard of the P.R.C., Explosive Atmospheres-Part 4: Equipment Protection by Intrinsic Safety “i”","This standard specifies the requirements of terms, structure, tests and signs, etc. for intrinsically safe equipment and associated equipment connecting with intrinsically safe circuit used in explosive gas environment. The explosive-proof form specified in this standard is applicable to electrical equipment which the circuit itself may not ignite explosive environment around. ;
","Equipment protection by intrinsic safety “i” used in explosive atmospheres (ICS: 29.260.20) ;
",29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,,,,,,,
China,29/04/2009, G/TBT/N/CHN/620,National Standard of the P.R.C. Cap-Lights for Use in Mines Susceptible to Firedamp-Part 2:Performance and Other Safety-Related Matters,"This standard specifies the performances and other safety characteristics of cap-lights, including the performances of miner's lamp with connection point to other equipment, involving the light output, reliability, ergonomics, type test and signs. The cap-lights conforming to this standard can also apply to the mines without firedamp. ;
","Cap-lights for use in mines susceptible to firedamp (ICS: 29.260.20) ;
",29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,,,,,,,
China,29/04/2009, G/TBT/N/CHN/621,"National Standard of the P.R.C., Explosive Atmospheres-Part 2: Equipment Protection by Flameproof Enclosures ""d""","This standard specifies the construction and special testing requirements for electrical equipment protected by flameproof enclosure “d”, intended for use in explosive gas atmospheres. The requirements include equipment classifications and temperature groups, flameproof joints, light-transmitting parts, incoming devices of flameproof enclosures, inspections, tests and marking, etc.  ;
","Equipment protection by flameproof enclosures ""d"" used in explosive atmospheres (ICS: 29.260.20) ;
 ;
",29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,,,,,,,
China,29/04/2009, G/TBT/N/CHN/616,"National Standard of the P.R.C., Adhesives for Facing Stone","The techincal requirements for products in this standard are compulsory. This standard applies to adhesives used in stone wall and floor affixing, stone complex veneer, stone strengthening and installation.It is not applicable for sealants used in stone joint.  ;
","Adhesives for facing  stone (ICS: 91.100.50) ;
",91.100.50 - Binders. Sealing materials,Protection of human health or safety (TBT),,,28/06/2009,Regular notification,,,,,,,
China,29/04/2009, G/TBT/N/CHN/624,"National Standard of the P.R.C., Direction for Use and Labels for Carpets","Chapter 5 of this standard is mandatory, the remainings are recommended. Chapter 5 specifies the normative identification and description for the specification of carpet products, the name and content of the surface pile fiber, mass of pile per unit area of the substrate, thickness or height of the pile, name and address of the manufacturer and other basic information.","Woven wall-to-wall pile carpets (including tile carpets), pile rugs and carpet strip ;
(ICS: 59.080.60, HS: 8413) ;
",59.080.60 - Textile floor coverings,Prevention of deceptive practices and consumer protection (TBT),Labelling,,28/06/2009,Regular notification,"8413 - Pumps for liquids, whether or not fitted with a measuring device (excl. ceramic pumps and secretion aspirating pumps for medical use and medical pumps carried on or implanted in the body); liquid elevators (excl. pumps); parts thereof",,,,,,
China,24/04/2009, G/TBT/N/CHN/615/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,23/04/2009, G/TBT/N/CHN/312/Add.1,"The People’s Republic of China hereby notifies that the National Standard GB 21555—2008"" Fireworks and firecrackers- Double-bang firecracker（Product of Aerial）"", has been promulgated by the Standardization Administration of the People’s Republic of China, and entered into force as of 1 March 2009. The draft was notified as G/TBT/N/CHN/312 on 14 November 2007. The Foreword，Table.1 and items of 5.2.13, 5.4.1.3, 8.1 of this standard are revised slightly. The text of the modification is available from: ;
WTO/TBT National Notification and Enquiry Center of the People’s Republic of China ;
Tel: +86 10 82260618 ;
Fax: +86 10 82262448 ;
E-mail: tbt@aqsiq.gov.cn ;
",,Fireworks and Firecrackers HS:  36041000,,,,,,Addendum to Regular Notification,360410 - Fireworks; 360410 - Fireworks,,,,,,
China,23/04/2009, G/TBT/N/CHN/569/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,08/04/2009, G/TBT/N/CHN/568/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,08/04/2009, G/TBT/N/CHN/564/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,08/04/2009, G/TBT/N/CHN/567/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,03/04/2009, G/TBT/N/CHN/336/Add.1,,,Uncombed cotton  HS:  5201000010; 5201000090,59.060.10 - Natural fibres,,,,,Addendum to Regular Notification,"5201 - Cotton, neither carded nor combed; 5201 - Cotton, neither carded nor combed",,,,,,
China,01/04/2009, G/TBT/N/CHN/247/Add.1,"The People’s Republic of China hereby notifies that the National Standard GB 1499.2-2007"" Steel for the Reinforcement of Concrete - Part 2: Hot Rolled Bars "", has been promulgated by Standardization Administration of the People’s Republic of China, and entered into force as of 1 March 2008, the draft  was notified by the document G/TBT/N/CHN/247 on 9 March 2007. The items 3.1, 3.2 and 10.1.2 of this standard have been revised slightly. The text of the modification is available from: ;
WTO/TBT National Notification and Enquiry Center of the People’s Republic of China ;
Tel:	+86 10 82260618 ;
Fax:	+86 10 82262448 ;
E-mail:	tbt@aqsiq.gov.cn ;
",,Hot rolled ribbed bars and hot rolled ribbed bars of fine grains for the reinforcement of concrete (ICS:  77.140.60),77.140.60 - Steel bars and rods,,,,,Addendum to Regular Notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/605,"National Standard of the P.R.C., General Requirements On Fixed Number of Years of Safety Use for Household and Similar Electrical Appliances-Particular Requirements for Electric Washing Machine and Dryer (6 pages, in Chinese)","This standard specifies the terms and definitions, requirements of  safe service life and marks etc. for household and similar electrical appliances-electric washing machine and dryer.","Household and similar electrical appliances-electric washing machine and dryer, ICS: 13.120",13.120 - Domestic safety,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/594,"National Standard of the P.R.C., General Security Technical Specification for Domestic Sanitary Insecticide (20 pages, in Chinese)","This standard specifies the general security requirements for domestic sanitary insecticide.  ;
This standard applies to the domestic sanitary insecticide products relating to general security requirements of health and environment.","Domestic sanitary insecticide, ICS: 65.100.10                  ;
",65.100.10 - Insecticides,Protection of human health or safety (TBT); Protection of the environment (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/595,"National Standard of the P.R.C., Household and Similar Electrical Appliances-Safety-Particular Requirements for Thermal-Storage Hand Warmers (21 pages, in Chinese)","This standard specifies the safety requirements for household and similar purposes thermal-storage hand warmers.  ;
This standard applies to household and similar purposes thermal-storage hand warmers with rated voltage not more than 250V.  ;
","Thermal-storage hand warmers, ICS: 13.120                         ;
",13.120 - Domestic safety,Protection of human health or safety (TBT); Protection of the environment (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/611,"National Standard of the P.R.C., Standard Specification for Wrought Nickel-Titanium Shape Memory Alloys for Medical Devices and Surgical Implants","This standard specifies the chemical, physical, mechanical and metallurgical requirements for wrought nickel-titanium memory alloys bar, flat rolled products, and tubing nominally containing 54.5% to 57.0% nickel used for manufacturing medical devices and surgical implants.",Medical devices and surgical implants     ICS: 11.040.40,"11.040.40 - Implants for surgery, prosthetics and orthotics",Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/615,"National Standard of the P.R.C., Home Textile -The Limited of Volatile Organic Compounds","This standard specifies the limits, test methods and inspection rules for volatile organic compounds of home textiles.  ;
This standard applies to the production, sale and use of home textiles containing a large area of coatings, plastics and adhesives.  ;
","Home textile ;
ICS:97.160                    HS: 6302, 6303, 6304 ;
",97.160 - Home textiles. Linen,Protection of human health or safety (TBT),,,29/05/2009,Regular notification,"6302 - Bed-linen, table linen, toilet linen and kitchen linen of all types of textile materials (excl. floor-cloths, polishing-cloths, dish-cloths and dusters); 6304 - Articles for interior furnishing, of all types of textile materials (excl. blankets and travelling rugs, bed-linen, table linen, toilet linen, kitchen linen, curtains, incl. drapes, interior blinds, curtain or bed valances, lampshades and articles of heading 9404); 6303 - Curtains, incl. drapes, and interior blinds; curtain or bed valances of all types of textile materials (excl. awnings and sunblinds)",,,,,,
China,30/03/2009, G/TBT/N/CHN/593,"National Standard of the P.R.C., Technical Requirements for Luminaries Used in Clean Room (7 pages, in Chinese)","This standard specifies the technical requirements for luminaries used in clean room, which with a supply voltage not exceeding 1000V, and using tube-type fluorescent lamps and LED lamps.  ;
This standard applies to the luminaries installed in locations with cleanliness requirements or similar places ;
","Luminaries used in clean room ;
ICS: 29.140.40  HS: 94054090 ;
",29.140.40 - Luminaires,Other (TBT),,,29/05/2009,Regular notification,"940540 - Electric lamps and lighting fittings, n.e.s.",,,,,,
China,30/03/2009, G/TBT/N/CHN/598,"National Standard of the P.R.C., Noise Limit Value for Household and Similar Electrical Appliances-Particular Requirements for Air-Cleaning Appliances (4 pages, in Chinese)","This standard specifies the noise limit value, experimental conditions, test methods and marks etc. for household and similar electrical appliances- air-cleaning appliances.","Household and similar electrical appliances-air-cleaning appliances, ICS: 97.030",97.030 - Domestic electrical appliances in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/599,"National Standard of the P.R.C., Noise Limit Value for Household and Similar Electrical Appliances-Particular Requirements for Vacuum Cleaners and Water Suction Cleaning Appliances (4 pages, in Chinese)","This standard specifies the noise limit value, experimental conditions, test methods and marks etc. for household and similar electrical appliances-vacuum cleaners and water suction cleaning appliances.","Household and similar electrical appliances-vacuum cleaners and water suction cleaning appliances, ICS: 97.030                     ;
",97.030 - Domestic electrical appliances in general; 97.080 - Cleaning appliances,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/597,"National Standard of the P.R.C., Noise Limit Value for Household and Similar Electrical Appliances-Particular Requirements for Dishwashers (4 pages, in Chinese)","This standard specifies the noise limit value, experimental conditions, test methods and marks etc. for household and similar electrical appliances-dishwashers.","Household and similar electrical appliances-dishwashers, ICS: 97.030 ;
",97.030 - Domestic electrical appliances in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/607,"National Standard of the P.R.C., Household and Similar Electrical Appliances-Safety-Particular Requirements for Multifunctional Shower Room (10 pages, in Chinese)","This standard specifies the electrical safety requirements, experimental conditions, test methods and marks etc. for household and similar electrical appliances-multifunctional shower room.","Household and similar electrical appliances-multifunctional shower room, ICS: 13.120",13.120 - Domestic safety,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/613,"National Standard of the P.R.C., Appliance Couplers for Household and Similar General Purposes- Part 2：Couplers Dependent on Appliance Weight for Engagement (25 pages, in Chinese)","This standard specifies the requirements for couplers dependent on appliance weight for engagement for household and similar general purposes.  ;
This standard is applicable only to a.c. two-pole appliance couplers, with or without earthing contact. ;
","Couplers dependent on appliance weight for engagement for household and similar general purposes ;
ICS: 29.120.20                                         HS：8535，8536 ;
",29.120.20 - Connecting devices,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,"8535 - Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits, e.g., switches, fuses, lightning arresters, voltage limiters, surge suppressors, plugs and junction boxes, for a voltage > 1.000 V (excl. control desks, cabinets, panels etc. of heading 8537); 8536 - Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits, e.g., switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders and junction boxes, for a voltage <= 1.000 V (excl. control desks, cabinets, panels etc. of heading 8537)",,,,,,
China,30/03/2009, G/TBT/N/CHN/603,"National Standard of the P.R.C., Antibacterial and Cleaning Function for Household and Similar Electrical Appliances Particular Requirements of Air Conditioners (6 pages, in Chinese)","This standard specifies the hygienic requirements, test methods and marks of room air conditioner with antibacterial and cleaning function.","Household and similar   air-conditioners, ICS: 03.080.01",03.080.01 - Services in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/602,"National Standard of the P.R.C., Noise Limit Value for Household and Similar Electrical Appliances-Particular Requirements for Motor-Operated Kitchen Appliances (6 pages, in Chinese)","This standard specifies the noise limit value, experimental conditions, test methods and marks etc. for household and similar electrical appliances motor-operated kitchen appliances.","Household and similar electrical appliances-motor-operated kitchen appliances, ICS: 97.030",97.030 - Domestic electrical appliances in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/612,"National Standard of the P.R.C., Appliance Couplers for Household and Similar General Purposes – Part 2: Interconnection Couplers for Household and Similar Equipment","This standard is applicable to interconnection couplers for household and similar appliances and equipment with two-pole for a.c. only, with or without earthing contact, which are used in a.c. power supply with a  rated voltage not exceeding 250 V, a  rated current not exceeding 16 A, and a frequency of 50 Hz or 60 Hz, intended for  interconnection of  electrical supply to suited electrical appliances or equipment .","Interconnection couplers for household and similar equipment ;
ICS: 29.120.30,  HS: 85369000 ;
","29.120.30 - Plugs, socket-outlets, couplers",Protection of human health or safety (TBT),,,29/05/2009,Regular notification,"853690 - Electrical apparatus for switching electrical circuits, or for making connections to or in electrical circuits, for a voltage <= 1.000 V (excl. fuses, automatic circuit breakers and other apparatus for protecting electrical circuits, relays and other switches, lamp-holders, plugs and sockets)",,,,,,
China,30/03/2009, G/TBT/N/CHN/609,"National Standard of the P.R.C., Safety Requirements and Test Methods for Security Alarm Equipment (15 pages, in Chinese)","This standard specifies the basic safety technical requirements, test methods and inspection rules in sign, anti-electro-shocking, anti-lighting, anti-overheating, anti-inside explosive or burst, anti-laser radiation, anti-ionization radiation, anti-microwave radiation, anti-ultrasonic pressure, and mechanical safety of security alarm equipment. ;
This standard applies to all kinds of security alarm equipment.  ;
","Security alarm equipment, ICS: 13.310",13.310 - Protection against crime,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/610,"National Standard of the P.R.C., Electrical Apparatus for the Detection and Measurement of Flammable Gases Part 2: Performance Requirements for Group I Apparatus Indicating a Volume Fraction up to 5 % Methane in Air (8 Pages, in Chinese)","This standard specifies the terms and definitions, general requirements and performance requirements of I-type portable, movable and fixed detectors for detecting methane concentrations in the air of mines.","Electrical apparatus for the detection and measurement of flammable gases, ICS: 29.260.20 ;
",29.260.20 - Electrical apparatus for explosive atmospheres,Protection of human health or safety (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/596,"National Standard of the P.R.C., Sports Helmets - Safety Requirements for Sports Helmets for Cyclists and Users of Skateboards and Roller Skates (15 pages, in Chinese)","This standard specifies the terms and definitions, specifications, requirements, test methods, marks, packing, transport, storage and instruction of helmets for pedal cyclists, users of skateboard and roller skate.  ;
This standard applies to the helmets worn by sporters of cycling, skateboards and roller skates. ;
","Sports helmets for cyclists, users of skateboards and roller skates, ICS: 13.340.20       ;
",13.340.20 - Head protective equipment,Protection of human health or safety (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/601,"National Standard of the P.R.C., Noise Limit Value for Household and Similar Electrical Appliances-Particular Requirements for Humidifiers (4 pages, in Chinese)","This standard specifies the noise limit value, experimental conditions, test methods and marks etc. for household and similar electrical appliances-humidifiers.","Household and similar electrical appliances-humidifiers, ICS: 97.030 ;
",97.030 - Domestic electrical appliances in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/614,"National Standard of the P.R.C., Appliances Couplers for Household and Similar General Purposes – Part 1: General Requirements","This standard is applicable to the appliance couplers for household and similar general purposes with two-pole for a.c. only, with or without earthing contact, with a rated voltage not exceeding 250 V and a rated current not exceeding 16 A,  intended for the connection of a supply cord to electrical appliances or other electrical equipment of 50 Hz or 60 Hz power supply frequency.","Appliances couplers for household and similar general purposes ;
ICS: 29.120.30                             HS: 85369000 ;
","29.120.30 - Plugs, socket-outlets, couplers",Protection of human health or safety (TBT),,,29/05/2009,Regular notification,"853690 - Electrical apparatus for switching electrical circuits, or for making connections to or in electrical circuits, for a voltage <= 1.000 V (excl. fuses, automatic circuit breakers and other apparatus for protecting electrical circuits, relays and other switches, lamp-holders, plugs and sockets)",,,,,,
China,30/03/2009, G/TBT/N/CHN/606,"National Standard of the P.R.C., Antibacterial and Cleaning Function for Household and Similar Electrical Appliances-Particular Requirements for Electric Washing Machine (8 pages, in Chinese)","This standard specifies the scopes, definitions, technical requirements and marks for electric washing machine in antibacterial function.",Household and similar washing machine ICS: 03.080.01,03.080.01 - Services in general; 97.060 - Laundry appliances,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/604,"National Standard of the P.R.C., Antibacterial and Cleaning Function for Household and Similar Electrical Appliances-Particular Requirements of Refrigerator (6 pages, in Chinese)","This standard specifies the hygienic requirements, test methods, and marks for household and similar use refrigerated containers, refrigerated freezers, freezers in the functions of anti-bacterial, significantly impeding the real (sp) bacteria growth, and eliminating smell.","Household and similar refrigerator, ICS: 03.080.01",03.080.01 - Services in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/600,"National Standard of the P.R.C., Noise Limit Value for Household and Similar Electrical Appliances-Particular Requirements for Food Blender (8 pages, in Chinese)","This standard specifies the noise limit value, experimental conditions, test methods and marks etc. for household and similar electrical appliances-food blender.","Household and similar electrical appliances-food blender ICS: 97.030 ;
",97.030 - Domestic electrical appliances in general,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,30/03/2009, G/TBT/N/CHN/608,"National Standard of the P.R.C., General Requirements on Fixed Number of Years of Safety Use for Household and Similar Electrical Appliances-Particular Requirements for Vacuum Cleaner and Water Suction Cleaning Appliances (6 pages, in Chinese)","This standard specifies the terms and definitions, requirements of safe service life and marks etc. for household and similar electrical appliances- vacuum cleaner and water suction cleaning appliances.","Household and similar electrical appliances-vacuum cleaner and water suction cleaning appliances ;
ICS: 13.120                        ;
",13.120 - Domestic safety,Protection of human health or safety (TBT); Other (TBT),,,29/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/589,"National Standard of the P.R.C., Fireworks and Firecracker Labeling","This standard specifies the labeling requirements for fireworks and firecracker article, its inner packaging and outer packaging.               ;
This standard is applicable to the labeling and inspection of marks for fireworks and firecracker article, inner packaging and outer packaging ;
","Fireworks and firecracker ;
ICS: 71.100.30                  　 HS: 36041000 ;
",71.100.30 - Explosives. Pyrotechnics and fireworks,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,360410 - Fireworks,,,,,,
China,27/03/2009, G/TBT/N/CHN/584,"National Standard of the P.R.C., Motor Vehicles-Windshield Demisting and Defrosting Systems-Performance Requirements and Test Methods (11 pages, in Chinese)",This standard specifies the performance requirements and test methods for windshield demisting and defrosting systems of motor vehicles.,"Windshield demisting and defrosting systems of motor vehicles ;
 ICS: 43.040.60;  HS: 8512 ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,"8512 - Electrical lighting or signalling equipment (excl. lamps of heading 8539), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles; parts thereof",,,,,,
China,27/03/2009, G/TBT/N/CHN/570,"National Standard of the P.R.C., Home Textiles -The Limited of Water Extraction Material Within Towel (6 pages, in Chinese)","This standard specifies the requirements, samples, test methods，inspection rules and marks for water extraction materials in towel products. ;
This standard applies to bath towel products, such as: bath towel, washcloth, square towel and so on. ;
","Home textiles  towel ;
ICS:97.160                              HS: 5802 ;
",97 - DOMESTIC AND COMMERCIAL EQUIPMENT. ENTERTAINMENT. SPORTS; 97.160 - Home textiles. Linen,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,"58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY; 5802 - Terry towelling and similar woven terry fabrics, tufted textile fabrics (excl. narrow woven fabrics of heading 5806, carpets and other floor coverings)",,,,,,
China,27/03/2009, G/TBT/N/CHN/591,"National Standards of the P.R.C., Limitation of Mercury, Cadmium and Lead Contents for Alkaline and Non-Alkaline Zinc Manganese Dioxide Batteries","This standard specifies the restriction requirements, inspection rules, compliance determination rules and marks for limitation of mercury, cadmium and lead contents of alkaline and non-alkaline zinc manganese dioxide batteries.  ;
This standard is applicable to alkaline and non-alkaline zinc manganese dioxide batteries. ;
","Alkaline and non-alkaline zinc manganese dioxide batteries ;
ICS: 29.220.10                     HS：8506 ;
",29.220.10 - Primary cells and batteries,Protection of human health or safety (TBT); Protection of the environment (TBT),,,26/05/2009,Regular notification,"8506 - Primary cells and primary batteries, electrical; parts thereof (excl. spent)",,,,,,
China,27/03/2009, G/TBT/N/CHN/572,"National Standard of the P.R.C., Limit of Heavy Metal Extraction in Materials of Drinking Water Plumbing Products（9 pages, in Chinese）","This standard specifies the terms and definitions, technical requirements, test methods, pollutant concentrations of lead and statistical value calculation, as well as other heavy metal pollutant concentrations of heavy metal extraction in materials of drinking water plumbing products.","Drinking water plumbing products ;
ICS:91.140.70 ;
",13.060.20 - Drinking water; 91 - CONSTRUCTION MATERIALS AND BUILDING; 91.140.70 - Sanitary installations,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/587,"National Standard of the P.R.C., Technical Requirements for Satellite Emergency Position-Indicating Radio Beacons（16 pages, in Chinese）","This standard specifies the technical performance requirements, information structure of figure, environmental and operational performance requirements for satellite emergency position-indicating radio beacons in 406MHz band.","Navigation and control equipment  ;
 ICS: 47.020.70；33.060.20           HS: 9014 ;
",33.060.20 - Receiving and transmitting equipment; 47.020.70 - Navigation and control equipment,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,9014 - Direction finding compasses; other navigational instruments and appliances (excl. radio navigational equipment),,,,,,
China,27/03/2009, G/TBT/N/CHN/586,"National Standard of the P.R.C., The Interior Fittings of Passenger Car（,","This standard applies to the interior fittings of category M1 vehicles, relating to interior parts of passenger compartment other than rear-view mirrors; arrangement of controls, roof or opening roof, seat-back and rear parts of seats, power-operating for windows, roof panels and partition systems.","Bodies and body components of passenger cars ;
 ICS: 43.040.60                        HS: 8707, 8708 ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,"8707 - Bodies, incl. cabs, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705; 8708 - Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",,,,,,
China,27/03/2009, G/TBT/N/CHN/574,"National Standard of the P.R.C., Sodium Monofluorophosphate for Tooth-Paste Industry (12 pages, in Chinese)","This standard specifies the requirements, test methods, inspection rules, marks, labels, packing, transport and storage of sodium monofluorophosphate for tooth-paste industry.","Sodium monofluorophosphate for tooth-paste industry ;
ICS:71.060.50 ;
",71 - CHEMICAL TECHNOLOGY; 71.060.50 - Salts,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/580,"National Standard of the P.R.C., Diatomite Filter Aids","This standard specifies the terms and definitions, classifications and signs, requirements, test methods, inspection rules, marks, packing, transport and storage for diatomite filter aids.","Diatomite filter aids ;
ICS: 73.080 ;
",73 - MINING AND MINERALS; 73.080 - Non-metalliferous minerals,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/590,"National Standard of the P.R.C., General and Safety Requirements of Neon Lamps","This standard specifies the general and safety requirements of neon lamps. It applies to neon lamps with external diameter of 6mm ~ 16mm, and filling with neon gas or argon-mercury gas mixture.","Neon lamps ;
ICS: 29.140.30 ;
",29.140.30 - Fluorescent lamps. Discharge lamps,Protection of human health or safety (TBT); Other (TBT); Quality requirements (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/576,"National Standard of the P.R.C., Minimum Allowable Values of Energy Efficiency and Energy Efficiency Grades for Fan","This standard specifies the minimum allowable values of energy efficiency, energy efficiency grades, evaluating values of energy conservation , test methods and inspection rules for fan.  ;
This standard applies to general purpose centrifugal and axial flow fan, industrial steam boiler centrifugal induced draft fan, power plant boiler centrifugal blower and induced draft fan, power plants axial fan, air-conditioning centrifugal fan. It does not apply to special structures and special purpose fan, such as jet fan, cross flow fan, roof fan etc. ;
","Fan ;
ICS: 23.210 ;
",,Protection of the environment (TBT); Other (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/573,"National Standard of the P.R.C., Calcium Hydrogen Phosphate for Tooth-Paste Industry (","This standard specifies the requirements, test methods, inspection rules, marks, labels, packing, transport and storage of calcium hydrogen phosphate for tooth-paste industry.","Calcium hydrogen phosphate for tooth-paste industry  ;
ICS: 71.060.50 ;
",71 - CHEMICAL TECHNOLOGY; 71.060.50 - Salts,Protection of human health or safety (TBT),,,26/05/2009,Regular notification,,,,,,,
China,27/03/2009, G/TBT/N/CHN/575,"National Standard of the P.R.C., Flavorings (Flavor Compound) (18 pages, in Chinese)","This standard specifies the requirements, test methods, inspection rules and marks, packing, transport, storage and shelf-life of flavorings.","Flavorings ;
ICS: 71.100.60 ;
",71 - CHEMICAL TECHNOLOGY; 71.100.60 - Essential oils,,Food standards,,26/05/2009,Regular notification,,,,,,,
